Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-01-02,68.18681335449219,68.18681335449219,67.08132380627873,67.176977721624,27278000
2020-01-03,67.83010864257812,68.43940351728152,67.12267404619415,67.15655543577822,23408000
2020-01-06,69.63805389404297,69.66345923216974,67.30600805367692,67.33738843542059,46768000
2020-01-07,69.50354766845703,69.92153470711604,69.32669091744489,69.77008329725511,34330000
2020-01-08,69.99824523925781,70.33751521494523,69.3799878535832,69.4890894151128,35314000
2020-01-09,70.73308563232422,71.17597625297427,70.25581190329635,70.83969379325514,33200000
2020-01-10,71.18992614746094,71.48784974028622,70.72362186567442,71.21533908846308,26258000
2020-01-13,71.7414321899414,71.81366484523728,71.01107809709713,71.50328944184061,30730000
2020-01-14,71.2711410522461,71.8709640363411,71.13064389247113,71.73993876603046,26076000
2020-01-15,71.70008087158203,71.77879789678663,71.32444368341595,71.39219885923909,21550000
2020-01-16,72.24610900878906,72.27301191223528,71.73994064880996,72.0114554841839,26080000
2020-01-17,73.70880126953125,73.76011367358568,72.56445103890334,72.86286877720866,52424000
2020-01-21,73.84480285644531,74.22492509167162,73.24497234103121,73.6828837377684,48930000
2020-01-22,73.92550659179688,74.75799134476836,73.8652316275804,74.21745513521142,28458000
2020-01-23,73.96636199951172,74.4052768729522,73.74865298533626,74.10885083507527,26650000
2020-01-24,73.04371643066406,74.44015119797305,72.89475082044622,74.37140017843792,29786000
2020-01-27,71.32793426513672,71.56955866813779,70.71863939255725,71.31846997752507,34132000
2020-01-28,72.26304626464844,72.47726605072009,71.25967970809778,71.82662476293184,29724000
2020-01-29,72.5719223022461,72.94258029676281,72.00846650513019,72.65960189593662,21566000
2020-01-30,72.44985961914062,72.49967445504653,71.49083470637075,71.64527362080143,27110000
2020-01-31,71.38024139404297,73.21807678829367,71.09527131841374,73.12790379399927,43822000
2020-02-03,73.86223602294922,74.04657296301339,72.56743036798406,72.81851903680833,71636000
2020-02-04,72.00946044921875,73.10199650551328,70.84468413309284,72.46182298123878,95880000
2020-02-05,72.04134368896484,72.96449562114519,71.22580336725193,72.91617074068874,36376000
2020-02-06,73.53193664550781,73.81042993755283,72.26204220223194,72.33676825821126,37822000
2020-02-07,73.6883773803711,73.9942677344084,73.00585396908144,73.10449541727816,28360000
2020-02-10,75.16053771972656,75.17149956935405,73.4935839944387,73.59471884010038,38302000
2020-02-11,75.23028564453125,76.21771113263144,75.00061892772216,75.39020550159178,34852000
